Date,temp_C,HR,windSpeed_m/s,windGust_m/s,pres_mbar,solarRad_W/m2,rain_mm/h,rain_day,Power_kW,Holiday,Hour,Date Day
2018-02-21 09:00:00,12.5175,43.63750000000001,0.0,0.0,1014.0,365.80833333333334,0.0,0.0,332.1182865,0.0,9,2018-02-21
2018-02-21 10:00:00,13.332500000000001,42.094166666666666,0.0,0.0,1013.9166666666666,523.8416666666667,0.0,0.0,347.48781339999994,0.0,10,2018-02-21
2018-02-21 11:00:00,14.0,40.582499999999996,0.0,0.0,1013.0833333333334,632.6833333333333,0.0,0.0,347.16528210000007,0.0,11,2018-02-21
2018-02-21 12:00:00,15.203333333333335,31.192500000000006,0.0,0.0,1012.25,687.0666666666666,0.0,0.0,302.7118458,0.0,12,2018-02-21
2018-02-21 13:00:00,15.4325,32.229166666666664,0.0,0.0,1011.3333333333334,674.9083333333334,0.0,0.0,287.03715950000003,0.0,13,2018-02-21
2018-02-21 14:00:00,16.49,27.4275,0.0,0.0,1010.0833333333334,605.225,0.0,0.0,328.79418389999995,0.0,14,2018-02-21
2018-02-21 15:00:00,16.43583333333333,27.218333333333334,0.0,0.0,1009.4166666666666,481.04166666666674,0.0,0.0,327.9310307,0.0,15,2018-02-21
2018-02-21 16:00:00,16.851666666666667,30.92,0.0,0.0,1009.0,308.07500000000005,0.0,0.0,324.0920501,0.0,16,2018-02-21
2018-02-21 17:00:00,14.758333333333333,49.12583333333333,0.0,0.0,1009.25,122.16583333333334,0.0,0.0,297.91657349999997,0.0,17,2018-02-21
2018-02-21 18:00:00,12.945,58.01583333333332,0.0,0.0,1010.0,7.01025,0.0,0.0,235.09496919999998,0.0,18,2018-02-21
2018-02-21 19:00:00,12.379166666666668,61.26333333333333,0.0,0.0,1010.0,0.9784166666666668,0.0,0.0,195.5695014,0.0,19,2018-02-21
2018-02-21 20:00:00,12.197499999999998,54.777499999999996,0.0,0.0,1010.0833333333334,0.8192499999999999,0.0,0.0,148.2957476,0.0,20,2018-02-21
2018-02-21 21:00:00,12.073333333333332,52.42916666666667,0.0,0.0,1011.0,0.944,0.0,0.0,139.4323112,0.0,21,2018-02-21
2018-02-21 22:00:00,12.179166666666667,49.087500000000006,0.0,0.0,1011.0,0.8584166666666667,0.0,0.0,135.0784526,0.0,22,2018-02-21
2018-02-21 23:00:00,11.914166666666668,45.41333333333333,0.0,0.0,1011.0,0.8216666666666667,0.0,0.0,129.77813940000001,0.0,23,2018-02-21
2018-02-22 00:00:00,11.946666666666667,38.973333333333336,0.0,0.0,1011.0,0.8977499999999999,0.0,0.0,129.4298642,0.0,0,2018-02-22
2018-02-22 01:00:00,11.254166666666665,38.643333333333324,0.0,0.0,1011.0,0.6671666666666667,0.0,0.0,125.1099122,0.0,1,2018-02-22
2018-02-22 02:00:00,10.738333333333332,37.88333333333333,0.0,0.0,1011.0,0.8493333333333332,0.0,0.0,126.1202033,0.0,2,2018-02-22
2018-02-22 03:00:00,10.094166666666668,40.15833333333334,0.0,0.0,1011.0,0.8309166666666666,0.0,0.0,128.5851294,0.0,3,2018-02-22
2018-02-22 04:00:00,9.008333333333333,44.219166666666666,0.0,0.0,1011.0,0.6556666666666667,0.0,0.0,129.2638893,0.0,4,2018-02-22
2018-02-22 05:00:00,8.5425,44.041666666666664,0.0,0.0,1011.0,0.64875,0.0,0.0,131.3535405,0.0,5,2018-02-22
2018-02-22 06:00:00,8.039166666666667,44.24,0.0,0.0,1011.0,0.6439999999999999,0.0,0.0,140.0750715,0.0,6,2018-02-22
2018-02-22 07:00:00,7.6191666666666675,45.656666666666666,0.0,0.0,1011.5833333333334,28.215666666666664,0.0,0.0,173.9979969,0.0,7,2018-02-22
2018-02-22 08:00:00,7.716666666666668,44.356666666666676,0.0,0.0,1012.0,186.6916666666667,0.0,0.0,256.4366623,0.0,8,2018-02-22
2018-02-22 09:00:00,8.317499999999999,41.59416666666666,0.0,0.0,1012.0,371.36666666666673,0.0,0.0,312.612573,0.0,9,2018-02-22
2018-02-22 10:00:00,9.153333333333332,41.93749999999999,0.0,0.0,1012.0,529.9,0.0,0.0,336.24107789999994,0.0,10,2018-02-22
2018-02-22 11:00:00,10.643333333333333,39.985833333333325,0.0,0.0,1012.0,641.5749999999999,0.0,0.0,333.7139897,0.0,11,2018-02-22
2018-02-22 12:00:00,12.186666666666667,34.76083333333333,0.0,0.0,1011.5,696.5749999999999,0.0,0.0,305.9222985,0.0,12,2018-02-22
